Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10u,C19702
"C3, C4",0402,2,0.1u,C307331
CD4053B,SOIC-16_L9.9-W3.9-P1.27-LS6.0,1,CD4053B,C6742
CH340E,MSOP-10_L3.0-W3.0-P0.50-LS5.0,1,CH340E,C99652
D1,SOD-323_L1.8-W1.3-LS2.5-RD,1,NSR0320MW2T1G,C48192
D2,LED0603-RD_GREEN,1,LED,C2693607 
D3,LED0603-RD_GREEN,1,LED,C510026
D4,SOD-323_L1.8-W1.3-LS2.5-RD,1,1N5819WS,C191023
J1,USB-C-SMD_TYPE-C-16P-1,1,USB_C_Receptacle_USB2.0,C2982555
"R1, R2",0402,2,5.1K,C25905
R3,0603,1,2.7K,C13167
"R4, R5",0603,2,470,C23179
SW1,SW-SMD_SSSS211603,1,Slide,C125040
U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8,1,ME6217C33,C427602
