Designator,Footprint,Quantity,Value,LCSC Part #
"_16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,16,,
BT1,BAT-CR2032-2,1,CR2032,
BZ1,BUZ-SMD_2P-L12.0-W12.0-L,1,PKLCS1212E2000,C184513
"C1, C2, C3, C4, C5, C6, C7, C8, C9",0402,9,1u,C52923
"C10, C11",0402,2,0.1u,C1525
C12,0603,1,10u,C19702
D1,SOD-323_L1.8-W1.3-LS2.5-RD,1,1N5819WS,C191023
D2,LED0603-RD_GREEN,1,SML-D12P8WT86,C510026
J3,AQM1248A,1,AQM1248A,
J4,PinSocket_1x07_P2.54mm_Vertical,1,TinyStick_Ext1,
J5,PinSocket_1x06_P2.54mm_Vertical,1,TinyStick_Ext2,
J6,Grove_Connector,1,Grove Connector,
J7,CONN-SMD_HC-1.0-2PWT,1,LCD BackLight,C2845361
JP1,SolderJumper-2_Open_mini,1,SolderJumper_2_Open,
Q1,AO3400A,1,AO3400A,C20917
"R1, R2, R6, R7, R8",0402,5,10K,C25744
R3,0402,1,20K,C25765
R4,0402,1,100K,C25741
R5,0603,1,470,C23179
RV1,RES-ADJ-SMD_G32AT,1,2K,C128118
"SW1, SW2, SW3, SW4",SW-SMD_4P-L4.5-W4.5-P3.00-LS7.5,4,Tactile,C963229
SW5,SW-SMD_BZCN_TSA002A35,1,Tactile(Side),C2846757
SW6,SW-SMD_K3-1280S-K1,1,Slide,C128953
SW7,SW-SMD_TSD101EZ,1,DIP,C2758180
U1,HVQFN-24_L4.0-W4.0-P0.50,1,ATtiny3217,C1340454
U2,LGA-12_L2.0-W2.0-P0.50-BL,1,LIS2DH12,C110926
