Designator,Mid X,Mid Y,Rotation,Layer
_18,32.258,7.366,0.0,top
_17,39.37,-4.572,0.0,top
_16,10.922,-0.508,0.0,top
_15,51.308,9.652,0.0,top
_14,27.178,-7.366,0.0,top
_13,3.048,1.016,0.0,top
_12,37.084,7.112,0.0,top
_11,51.816,-8.382,0.0,top
_10,31.75,-9.144,0.0,top
_9,20.159,-8.382,0.0,top
_8,53.594,9.652,0.0,top
_7,48.006,0.762,0.0,top
_6,44.45,0.762,0.0,top
_5,40.894,10.06,0.0,top
_4,3.048,5.842,0.0,top
_3,52.578,4.064,0.0,top
_2,53.848,-8.382,0.0,top
,40.64,-1.016,0.0,top
BT1,42.63,0.0,0.0,bottom
BZ1,36.83,-4.572,0.0,top
C1,22.733,-7.956,90.0,top
C10,14.351,1.27,90.0,top
C11,2.552,-9.906,180.0,top
C12,4.826,-9.131,270.0,top
C2,21.463,-7.956,270.0,top
C3,17.78,-7.956,270.0,top
C4,16.764,-7.956,270.0,top
C5,15.24,-7.956,270.0,top
C6,13.34,-7.112,180.0,top
C7,11.5,-7.956,270.0,top
C8,10.4,-7.956,270.0,top
C9,9.325,-7.956,270.0,top
D1,45.212,6.858,180.0,top
D2,1.016,8.893,90.0,top
J1,34.1,2.9,270.0,top
J2,7.62,0.0,0.0,bottom
J3,19.485,-10.118,0.0,top
J4,10.16,-5.105,270.0,bottom
J5,10.16,7.62,270.0,bottom
J6,5.6755,0.0,0.0,top
J7,45.628,-8.205,90.0,top
Q1,26.162,0.0,270.0,top
R1,29.335,-8.336,0.0,top
R2,24.638,-7.954,270.0,top
R3,22.776,-0.506,270.0,top
R4,23.876,-0.508,90.0,top
R5,2.54,8.89,90.0,top
R6,4.572,-5.588,0.0,top
R7,2.032,-5.588,180.0,top
R8,5.336,-7.14,180.0,top
RV1,55.145,-8.155,0.0,top
SW1,46.0,0.0,90.0,top
SW2,53.0,2.64,0.0,top
SW3,53.0,-2.64,180.0,top
SW4,44.8,9.39,0.0,top
SW5,52.6,6.286,90.0,top
SW6,1.27,1.016,0.0,top
U1,17.78,1.27,270.0,top
U2,2.552,-8.015,180.0,top
